Original,Target,Condition
(and RewriteX (or RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,RewriteX;RewriteX:Bool,
(or RewriteX (and RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,RewriteX;RewriteX:Bool,
(or RewriteX (xor RewriteY RewriteY));RewriteX:Bool;RewriteY:Bool,RewriteX;RewriteX:Bool,
(and RewriteX (xor RewriteY RewriteY));RewriteX:Bool;RewriteY:Bool,(xor RewriteX RewriteX);RewriteX:Bool,
(not (and RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,(or (not RewriteY) (not RewriteX));RewriteX:Bool;RewriteY:Bool,
(or (not RewriteY) (not RewriteX));RewriteX:Bool;RewriteY:Bool,(not (and RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,
(and RewriteX (not RewriteY));RewriteX:Bool;RewriteY:Bool,(and RewriteX (xor RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,
(and RewriteX (xor RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,(and RewriteX (not RewriteY));RewriteX:Bool;RewriteY:Bool,
(xor RewriteX (and RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,(and RewriteX (not RewriteY));RewriteX:Bool;RewriteY:Bool,
(and RewriteX (not RewriteY));RewriteX:Bool;RewriteY:Bool,(xor RewriteX (and RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,
(xor RewriteX (or RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,(and RewriteY (not RewriteX));RewriteX:Bool;RewriteY:Bool,
(and RewriteY (not RewriteX));RewriteX:Bool;RewriteY:Bool,(xor RewriteX (or RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,
(not (not RewriteX));RewriteX:Bool,RewriteX;RewriteX:Bool,
(or RewriteX RewriteX);RewriteX:Bool,RewriteX;RewriteX:Bool,
(and RewriteX RewriteX);RewriteX:Bool,RewriteX;RewriteX:Bool,
(or RewriteX (not RewriteX));RewriteX:Bool,(xor RewriteX (not RewriteX));RewriteX:Bool,
(xor RewriteX (not RewriteX));RewriteX:Bool,(or RewriteX (not RewriteX));RewriteX:Bool,

(* RewriteX (* RewriteY RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(* RewriteY (* RewriteX RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(- RewriteX (- RewriteY RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(- RewriteZ (- RewriteY RewriteX));RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(- RewriteZ (- RewriteY RewriteX));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(- RewriteX (- RewriteY RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(- (- RewriteX RewriteY) RewriteZ);RewriteX:Real;RewriteY:Real;RewriteZ:Real,(- (- RewriteX RewriteZ) RewriteY);RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(- (- RewriteX RewriteZ) RewriteY);RewriteX:Real;RewriteY:Real;RewriteZ:Real,(- (- RewriteX RewriteY) RewriteZ);RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(+ RewriteX (+ RewriteY RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(+ RewriteY (+ RewriteX RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(- (+ RewriteX RewriteY) RewriteZ);RewriteX:Real;RewriteY:Real;RewriteZ:Real,(+ RewriteY (- RewriteX RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(+ RewriteY (- RewriteX RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(- (+ RewriteX RewriteY) RewriteZ);RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(* RewriteX (- RewriteY RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(* (- RewriteX) (- RewriteZ RewriteY));RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(* (- RewriteX) (- RewriteZ RewriteY));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(* RewriteX (- RewriteY RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(+ 293 (- RewriteY (+ 293 RewriteZ)));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(- RewriteY RewriteZ);RewriteY:Real;RewriteZ:Real,
(- (* RewriteX RewriteY) (* RewriteY RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(* RewriteY (- RewriteX RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(* RewriteY (- RewriteX RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(- (* RewriteX RewriteY) (* RewriteY RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(+ (* RewriteX RewriteY) (* RewriteY RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(* RewriteY (+ RewriteX RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(* RewriteY (+ RewriteX RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(+ (* RewriteX RewriteY) (* RewriteY RewriteZ));RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(ite (= RewriteX 0.0) (* RewriteX (* RewriteZ (/ RewriteY RewriteX))) (* RewriteX (* RewriteY (/ RewriteZ RewriteX))));RewriteX:Real;RewriteY:Real;RewriteZ:Real,(* RewriteX (* RewriteZ (/ RewriteY RewriteX)));RewriteX:Real;RewriteY:Real;RewriteZ:Real,
(* RewriteX RewriteY);RewriteX:Real;RewriteY:Real,(* RewriteY RewriteX);RewriteX:Real;RewriteY:Real,
(+ RewriteX RewriteY);RewriteX:Real;RewriteY:Real,(+ RewriteY RewriteX);RewriteX:Real;RewriteY:Real,
(abs (- RewriteX RewriteY));RewriteX:Real;RewriteY:Real,(abs (- RewriteY RewriteX));RewriteX:Real;RewriteY:Real,
(abs (* RewriteX RewriteY));RewriteX:Real;RewriteY:Real,(* (abs RewriteX) (abs RewriteY));RewriteX:Real;RewriteY:Real,
(* (abs RewriteX) (abs RewriteY));RewriteX:Real;RewriteY:Real,(abs (* RewriteX RewriteY));RewriteX:Real;RewriteY:Real,
(ite (= RewriteX 0.0) (* RewriteX RewriteY) (* RewriteX (* RewriteY (/ RewriteX RewriteX))));RewriteX:Real;RewriteY:Real,(* RewriteX RewriteY);RewriteX:Real;RewriteY:Real,
(ite (= RewriteX 0.0) (* RewriteX RewriteY) (/ (* RewriteX RewriteY) (/ RewriteX RewriteX)));RewriteX:Real;RewriteY:Real,(* RewriteX RewriteY);RewriteX:Real;RewriteY:Real,
(ite (= (- RewriteX RewriteY) 0.0) (/ (- RewriteY RewriteX) (- RewriteX RewriteY)) (/ (- RewriteX RewriteY) (- RewriteY RewriteX)));RewriteX:Real;RewriteY:Real,(/ (- RewriteY RewriteX) (- RewriteX RewriteY));RewriteX:Real;RewriteY:Real,
(ite (= (- RewriteY RewriteX) 0.0) (/ (- RewriteY RewriteX) (- RewriteY RewriteX)) (/ (- RewriteX RewriteY) (- RewriteX RewriteY)));RewriteX:Real;RewriteY:Real,(/ (- RewriteY RewriteX) (- RewriteY RewriteX));RewriteX:Real;RewriteY:Real,
(- (* RewriteX RewriteX) (* RewriteY RewriteY));RewriteX:Real;RewriteY:Real,(* (- RewriteX RewriteY) (+ RewriteX RewriteY));RewriteX:Real;RewriteY:Real,
